id,question,illness_id,illness,weight,
1,"Does the person appear to not have the similar reactions to the same event as others? Or say things like ""I can't help it""?",1,Anxiety,10,
2,"Has the person gone out of their way to accommodate superstition or bad luck, rather than a more direct approach",1,Anxiety,10,
3,Does the person worry unduly about failure or things that can't be controlled?,1,Anxiety,10,
4,"Is the person socializing with person(s) that are known destructive or criminal such as vandals, or petty thieves and/or gang members?",2,Behavioral Disorder,5,
5,"Is the person argumentative, self destructive, or prone to throw and slam things",2,Behavioral Disorder,5,
6,Is the person socializing with person(s) that are known drug users? Is the person's moods very different within a day/week?,2,Behavioral Disorder,5,
7,"For example, destroying others property, verbal abuse or displayed signs of bullying?",2,Behavioral Disorder,5,
8,Has the person's eating habits changed or they no longer appear interested in eating well or proportionally?,2,Behavioral Disorder,5,
9,Has the person gained or lost weight without really trying?,2,Behavioral Disorder,5,
10,Has the person been easily distracted or unproductive at work or on projects? Are there unfinished projects?,3,Depression,2,
11,Has the person begun to take ambien or sleep aids or complained about not sleeping?,3,Depression,2,
12,Has the person complained about always being tired and limited their activity to work only?,3,Depression,2,
13,Does the person act as though everything is out of their control and that nothing can be fixed?,3,Depression,2,
14,"Is the person chronically tired, or lacking energy. Do they turn down invitations more than participate?",3,Depression,2,
15,"Has the person used words like ""I don't deserve to be happy or to have things?""",3,Depression,2,
16,Has the person put themselves down or apologize for their existence?,3,Depression,2,
17,Does the person leave things unfinished or reneg on their commitments?,3,Depression,2,
18,"Does the person avoid intimacy and events that previously, the seemed happy to do?",3,Depression,2,
19,"Has the person given up on a hobby, craft or being a fan of something recently?",3,Depression,2,
20,Has the person stopped doing things that had previously gave them pleasure?,3,Depression,2,
21,Has the person been quick to anger or negative about people and events in their lives?,3,Depression,2,
22,"Does the person often discuss death, their own or others? Do they display morbid curiosity about the dead?",3,Depression,2,
23,Does the person feel sadness about seemingly all global and personal issues?,3,Depression,2,
24,"Does the person seem erratic in their energy levels, moving sometimes quickly and slowly with high frequency?",3,Depression,2,
25,"Has the person indicated ""I wish I had never been born' or ""everyone would be better off without me""?",3,Depression,2,
26,Has the person complained about acheness and chronic fatigue?,3,Depression,2,
27,Has the person begun taking sleeping aids?,3,Depression,2,36
28,Does the person complain of feeling overwhelmed with sadness?,4,Mood Disorder,8,
29,Has the person's moods changed dramatically in the course of a day or days?,4,Mood Disorder,8,
30,Has the person resisted participating in the activities of life?,4,Mood Disorder,8,
31,"Has the person stopped eating or getting food, arranging for proper shelter or food?",6,Bipolar,1,
32,"Does the person as well as experience periods of high grandeur, also experience deep lows in moods",6,Bipolar,3,
33,"At times, does the person experience difficulty making seemingly easy choices?",6,Bipolar,1,
34,Has the person displayed variations in weight or binge and diet behavior?,6,Bipolar,1,
35,"Does the person experience deep bouts of sadness,loneliness or depression?",6,Bipolar,1,
36,Does the person say things like they are not deserving of the people in their lives or that those people would be better off with out them?,6,Bipolar,1,
37,Does the person no longer participate in activities and events they had previously enjoyed?,6,Bipolar,1,
38,Does the person indicate that they feel unworthy or doubt themselves obsessively?,6,Bipolar,1,
39,Has the person turned down invites in order to stay at home and do nothing?,6,Bipolar,1,
40,Does the person have a morbid curiosity about death and talk about it a lot?,6,Bipolar,1,
41,Is the person taking sleeping aids or sleeping in a lot?,6,Bipolar,1,
